id,homonym,judge_meaning,suprisal_GPT2_large,average,sentence,modified_sentence
0,potential,the difference in electrical charge between two points in a circuit expressed in volts,3.4768946170806885,3.0,The potential couldn't be measured.,The [the difference in electrical charge between two points in a circuit expressed in volts] potential couldn't be measured.
1,potential,the inherent capacity for coming into being,3.654221296310425,3.8,The potential couldn't be measured.,The [the inherent capacity for coming into being] potential couldn't be measured.
2,potential,the difference in electrical charge between two points in a circuit expressed in volts,3.4058215618133545,2.2,The potential couldn't be measured.,The [the difference in electrical charge between two points in a circuit expressed in volts] potential couldn't be measured.
3,potential,the inherent capacity for coming into being,3.510727643966675,4.4,The potential couldn't be measured.,The [the inherent capacity for coming into being] potential couldn't be measured.
4,potential,the difference in electrical charge between two points in a circuit expressed in volts,3.345513105392456,2.6,The potential couldn't be measured.,The [the difference in electrical charge between two points in a circuit expressed in volts] potential couldn't be measured.
5,potential,the inherent capacity for coming into being,3.509364604949951,4.2,The potential couldn't be measured.,The [the inherent capacity for coming into being] potential couldn't be measured.
6,base,installation from which a military force initiates operations,3.2096428871154785,3.8,"The soldiers were playing a bat and ball game, which involved them running towards the base.","The soldiers were playing a bat and ball game, which involved them running towards the [installation from which a military force initiates operations] base."
7,base,a place that the runner must touch before scoring,3.153691291809082,4.2,"The soldiers were playing a bat and ball game, which involved them running towards the base.","The soldiers were playing a bat and ball game, which involved them running towards the [a place that the runner must touch before scoring] base."
8,base,installation from which a military force initiates operations,3.166022539138794,1.4,"The soldiers were playing a bat and ball game, which involved them running towards the base.","The soldiers were playing a bat and ball game, which involved them running towards the [installation from which a military force initiates operations] base."
9,base,a place that the runner must touch before scoring,3.0666685104370117,4.6,"The soldiers were playing a bat and ball game, which involved them running towards the base.","The soldiers were playing a bat and ball game, which involved them running towards the [a place that the runner must touch before scoring] base."
10,base,installation from which a military force initiates operations,3.3210794925689697,2.8,"The soldiers were playing a bat and ball game, which involved them running towards the base.","The soldiers were playing a bat and ball game, which involved them running towards the [installation from which a military force initiates operations] base."
11,base,a place that the runner must touch before scoring,3.2547998428344727,4.8,"The soldiers were playing a bat and ball game, which involved them running towards the base.","The soldiers were playing a bat and ball game, which involved them running towards the [a place that the runner must touch before scoring] base."
12,driving,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",3.814927339553833,4.0,"Poppy was always driving her friends, although they wished she wouldn't.","Poppy was always [to compel or force or urge relentlessly or exert coercive pressure on] driving her friends, although they wished she wouldn't."
13,driving,operate or control a vehicle,3.614297866821289,1.8,"Poppy was always driving her friends, although they wished she wouldn't.","Poppy was always [operate or control a vehicle] driving her friends, although they wished she wouldn't."
14,driving,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",3.7078909873962402,2.8,"Poppy was always driving her friends, although they wished she wouldn't.","Poppy was always [to compel or force or urge relentlessly or exert coercive pressure on] driving her friends, although they wished she wouldn't."
15,driving,operate or control a vehicle,3.432373046875,3.8,"Poppy was always driving her friends, although they wished she wouldn't.","Poppy was always [operate or control a vehicle] driving her friends, although they wished she wouldn't."
16,driving,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",3.9670238494873047,3.8,"Poppy was always driving her friends, although they wished she wouldn't.","Poppy was always [to compel or force or urge relentlessly or exert coercive pressure on] driving her friends, although they wished she wouldn't."
17,driving,operate or control a vehicle,3.6908490657806396,2.6,"Poppy was always driving her friends, although they wished she wouldn't.","Poppy was always [operate or control a vehicle] driving her friends, although they wished she wouldn't."
18,drive,a journey in a vehicle (usually an automobile),2.8902199268341064,5.0,He was ready to drive after a long day.,He was ready to [a journey in a vehicle (usually an automobile)] drive after a long day.
19,drive,hitting a golf ball off of a tee with a driver,2.7991209030151367,1.6,He was ready to drive after a long day.,He was ready to [hitting a golf ball off of a tee with a driver] drive after a long day.
20,drive,a journey in a vehicle (usually an automobile),3.1103317737579346,3.8,He was ready to drive after a long day.,He was ready to [a journey in a vehicle (usually an automobile)] drive after a long day.
21,drive,hitting a golf ball off of a tee with a driver,2.8471529483795166,2.6,He was ready to drive after a long day.,He was ready to [hitting a golf ball off of a tee with a driver] drive after a long day.
22,drive,a journey in a vehicle (usually an automobile),3.243896245956421,5.0,He was ready to drive after a long day.,He was ready to [a journey in a vehicle (usually an automobile)] drive after a long day.
23,drive,hitting a golf ball off of a tee with a driver,3.0910582542419434,1.6,He was ready to drive after a long day.,He was ready to [hitting a golf ball off of a tee with a driver] drive after a long day.
24,drive,a journey in a vehicle (usually an automobile),3.0281713008880615,4.4,That was a good drive.,That was a good [a journey in a vehicle (usually an automobile)] drive.
25,drive,hitting a golf ball off of a tee with a driver,2.944117784500122,1.8,That was a good drive.,That was a good [hitting a golf ball off of a tee with a driver] drive.
26,drive,a journey in a vehicle (usually an automobile),3.230614185333252,1.2,That was a good drive.,That was a good [a journey in a vehicle (usually an automobile)] drive.
27,drive,hitting a golf ball off of a tee with a driver,3.0223958492279053,4.2,That was a good drive.,That was a good [hitting a golf ball off of a tee with a driver] drive.
28,drive,a journey in a vehicle (usually an automobile),3.1673099994659424,2.4,That was a good drive.,That was a good [a journey in a vehicle (usually an automobile)] drive.
29,drive,hitting a golf ball off of a tee with a driver,3.022932767868042,1.8,That was a good drive.,That was a good [hitting a golf ball off of a tee with a driver] drive.
30,drive,a journey in a vehicle (usually an automobile),3.230609178543091,5.0,The drive was a good distance.,The [a journey in a vehicle (usually an automobile)] drive was a good distance.
31,drive,hitting a golf ball off of a tee with a driver,3.1555938720703125,1.6,The drive was a good distance.,The [hitting a golf ball off of a tee with a driver] drive was a good distance.
32,drive,a journey in a vehicle (usually an automobile),3.32153582572937,2.2,The drive was a good distance.,The [a journey in a vehicle (usually an automobile)] drive was a good distance.
33,drive,hitting a golf ball off of a tee with a driver,2.9770143032073975,3.0,The drive was a good distance.,The [hitting a golf ball off of a tee with a driver] drive was a good distance.
34,drive,a journey in a vehicle (usually an automobile),3.6310417652130127,5.0,The drive was a good distance.,The [a journey in a vehicle (usually an automobile)] drive was a good distance.
